id,q1,q2,q3,q4,q10a,q10b,q10c,q10d,q10e,q10f,q10g,Q11,Q12,Q13,Q14,Q15,Q16,Q17
884.00,1,6,5,5,3,2,5,5,4,4,2,40.00,6,0.00,9,2,2,1
881.00,1,1,#NULL!,2,2,1,3,4,2,1,3,75.00,8,0.00,1,1,2,1
713.00,1,5,#NULL!,5,3,2,2,4,4,3,2,10.00,4,0.00,7,2,2,1
714.00,1,6,2,8,4,4,2,4,4,5,2,0.00,99,0.00,5,1,2,1
875.00,1,1,#NULL!,2,2,1,2,4,1,1,4,5.00,4,0.00,1,2,2,1
413.00,1,6,4,6,2,3,4,2,2,2,2,7.00,2,5.00,1,1,2,1
794.00,1,6,2,4,2,3,2,2,3,2,2,4.00,6,10.00,1,1,2,1
944.00,1,6,5,8,1,3,4,4,2,5,1,0.00,2,10.00,5,1,2,1
945.00,1,4,#NULL!,5,1,1,1,1,2,1,2,5.00,6,0.00,1,2,2,1
1025.00,1,6,3,6,3,1,2,1,3,1,1,20.00,8,40.00,1,1,2,1
1022.00,1,6,3,2,3,2,2,2,3,4,4,10.00,7,0.00,1,2,2,1
911.00,1,6,5,4,3,2,3,2,2,4,4,35.00,6,0.00,11,2,2,1
842.00,1,1,#NULL!,2,5,2,1,5,4,4,2,25.00,4,0.00,1,1,2,1
844.00,1,5,#NULL!,6,3,4,5,2,1,2,3,10.00,6,5.00,1,2,2,1
893.00,1,5,1,5,2,1,4,5,4,1,3,3.00,8,5.00,5,2,2,1
894.00,1,6,1,6,3,1,3,4,5,3,2,5.00,10,95.00,1,2,2,1
1034.00,1,6,5,2,2,1,2,3,5,3,5,60.00,9,0.00,9,2,2,1
1035.00,1,3,#NULL!,7,4,2,2,4,1,1,2,10.00,3,0.00,1,2,2,1
1172.00,1,6,5,5,1,1,1,2,3,3,3,50.00,3,0.00,1,1,2,1
1174.00,1,6,5,2,3,1,1,2,5,4,3,20.00,7,0.00,1,2,2,1
694.00,1,6,5,2,2,5,5,3,1,2,2,3.00,1,0.00,11,1,2,1
1314.00,1,5,#NULL!,4,2,1,1,4,2,3,2,60.00,7,0.00,9,2,1,1
231.00,1,1,#NULL!,2,3,2,4,3,4,4,4,60.00,7,0.00,1,2,2,1
235.00,1,6,3,4,2,3,3,4,4,2,1,10.00,6,50.00,1,1,2,1
551.00,1,6,5,5,3,1,2,5,2,2,1,10.00,7,0.00,1,2,2,1
552.00,1,6,5,5,3,4,5,5,2,4,3,5.00,6,0.00,1,1,2,1
